"Code
alpha
-3",test data1,test data2
AFG,63205,39003
ALB,32648,79220
ATA,95097,5480
DZA,70915,7875
ASM,78305,50583
AND,36492,40534
AGO,21177,16124
ATG,77895,78568
AZE,62112,12521
ARG,86048,45429
AUS,65330,92030
AUT,25488,89005
BHS,80458,37343
BHR,71778,29703
BGD,27272,65015
ARM,58086,2526
BRB,74853,95465
BEL,76646,9591
BMU,31134,66103
BTN,82473,85477
BOL,43323,94110
BIH,74286,88901
BWA,44171,43363
BVT,25431,92731
BRA,57478,71173
BLZ,59737,1171
IOT,79574,52516
SLB,11906,85480
VGB,22824,33264
BRN,93206,44748
BGR,77045,46557
MMR,67029,25716
BDI,61549,32765
BLR,55922,23624
KHM,93991,72473
CMR,34426,34465
CAN,92797,69693
CPV,77815,25285
CYM,48353,53879
CAF,31420,50721
LKA,3484,41282
TCD,80607,63070
CHL,76277,8862
CHN,46578,2418
TWN,3334,93474
CXR,50617,14045
CCK,77899,72469
COL,62940,88309
COM,8096,84991
MYT,66511,95880
COG,94710,60616
COD,40473,65835
COK,53110,75879
CRI,36838,7513
HRV,80918,34160
CUB,73251,76865
CYP,14783,5146
CZE,73266,45107
BEN,84131,25916
DNK,86952,86935
DMA,90503,26707
DOM,73633,87870
ECU,35802,83567
SLV,54395,55325
GNQ,86891,68023
ETH,82966,7316
ERI,93428,33822
EST,74457,77551
FRO,4694,49093
FLK,40550,41116
SGS,4646,79418
FJI,50301,27969
FIN,76429,5425
ALA,24368,77696
FRA,71888,4172
GUF,70587,8922
PYF,52761,47601
ATF,81737,26284
DJI,42826,89870
GAB,48830,65009
GEO,6763,67702
GMB,67869,4009
PSE,89272,63839
DEU,96854,33484
GHA,29934,75557
GIB,1259,44773
KIR,32170,60070
GRC,67677,65779
GRL,24406,37628
GRD,51528,93460
GLP,66838,70028
GUM,4819,27397
GTM,68637,21304
GIN,98382,59366
GUY,83016,44427
HTI,30095,64664
HMD,38678,31983
VAT,45740,95588
HND,58021,50579
HKG,68305,85547
HUN,38785,99042
ISL,66697,34636
IND,29694,61188
IDN,60112,72591
IRN,43839,22140
IRQ,25639,33793
IRL,56554,1931
ISR,36141,95980
ITA,72479,75825
CIV,7271,75006
JAM,8521,61656
JPN,41307,12497
KAZ,32437,44265
JOR,10003,7376
KEN,5855,40789
PRK,50378,23676
KOR,47530,50652
KWT,95944,3927
KGZ,48800,1071
LAO,92937,96753
LBN,64493,82194
LSO,90174,33229
LVA,67890,31723
LBR,45908,91813
LBY,84354,14464
LIE,41738,12901
LTU,52068,27182
LUX,84787,90963
MAC,59970,15756
MDG,55961,73748
MWI,95137,8218
MYS,37482,5849
MDV,55122,73772
MLI,99950,96884
MLT,49340,68204
MTQ,9356,54449
MRT,18663,44700
MUS,74107,58969
MEX,58778,57993
MCO,22023,4619
MNG,15014,78791
MDA,55069,73043
MNE,44498,83727
MSR,87677,38721
MAR,97571,99921
MOZ,46732,5497
OMN,36647,14869
NAM,99522,71106
NRU,52675,55753
NPL,58715,48815
NLD,13235,62108
CUW,30281,34537
ABW,93837,60791
SXM,31844,81752
BES,46204,85107
NCL,15509,13128
VUT,58697,22376
NZL,32589,69072
NIC,45970,67318
NER,39099,84379
NGA,74717,57497
NIU,52960,91956
NFK,7920,88186
NOR,74647,50649
MNP,63074,88692
UMI,63875,37972
FSM,58042,52282
MHL,66452,9771
PLW,93808,23451
PAK,33255,58169
PAN,72926,44167
PNG,40888,7464
PRY,73835,23970
PER,44877,55479
PHL,2253,42973
PCN,69761,42551
POL,86410,96950
PRT,32481,33104
GNB,56362,50040
TLS,3282,30909
PRI,24769,99488
QAT,80383,5759
REU,81952,74692
ROU,22708,98328
RUS,1713,96308
RWA,23299,12233
BLM,57557,49932
SHN,96276,76195
KNA,72670,35350
AIA,82542,5448
LCA,60481,73636
MAF,68169,43137
SPM,30171,64297
VCT,49591,88234
SMR,20534,67896
STP,89802,25828
SAU,68084,94292
SEN,42239,67774
SRB,23162,6203
SYC,45696,22140
SLE,96538,41688
SGP,21394,78861
SVK,76676,83175
VNM,99103,86924
SVN,18215,68636
SOM,39416,3183
ZAF,43365,1914
ZWE,63558,6377
ESP,28560,58938
SSD,6139,23460
SDN,28948,3981
ESH,69664,98402
SUR,92954,68353
SJM,59411,48840
SWZ,44382,55233
SWE,23826,73260
CHE,91670,28814
SYR,34352,37329
TJK,17436,12792
THA,22218,50621
TGO,43901,66691
TKL,70722,46832
TON,41038,93195
TTO,56977,54675
ARE,97391,84908
TUN,20098,25014
TUR,57680,12591
TKM,49413,87189
TCA,47412,82531
TUV,38189,47523
UGA,76347,38892
UKR,12698,17336
MKD,76677,54612
EGY,58308,90964
GBR,13297,1146
GGY,4900,32627
JEY,52169,40746
IMN,23645,97582
TZA,28280,26496
USA,15868,65507
VIR,71148,88891
BFA,13107,81670
URY,32558,94649
UZB,53520,54989
VEN,5873,55919
WLF,23280,5468
WSM,39653,94045
YEM,15415,83439
ZMB,28379,98255
